card_id,card_number,card_name,card_type,card_subtype,class_family,class_rank,evolution_path,mana_cost,exp_value,is_ultimate,attack_type,base_damage,defense_type,block_value,target_type,usage_phase,timing,mechanic_tags,counter_type,casting_time,requires_target,exhaust_required,once_per_turn,burn,freeze,stun,bleed,curse,poison,heal,shield,buff_type,buff_value,buff_duration,revive_hp,mana_gain,attack_restriction,damage_immunity,immunity_duration,self_status,self_status_duration,cost_type,cost_value,draw_value,damage_reduction,negate,return_to_hand,remove_status_count,untargetable_duration,conditional_requirement,kill_condition,kill_effect,targeting_rule,targeting_override,compatible_classes,compatible_ranks,restricted_to,short_text,full_description,effect_text,flavor_text,artwork_url,image_url,thumbnail_url,local_thumbnail_path,artist_name,frame_variant,asset_status,power_score,combo_risk,status,version,last_updated,design_notes,requires_mana,class_restriction,lineage_match_classes,lineage_compatible_active_classes,lineage_resolution_rule,explicit_rank_gate,copy_limit,remove_exhaust,hand_reveal,search_top_count,add_to_hand_count,shuffle_rest,reveal_top_count,reorder_top_deck,source_card_id,base_skill_class,gallery_category,card_color,area_attack_damage_reduction,area_attack_damage_reduction_3_base_classes,max_uses_per_area_attack,legacy_internal_id,ultimate_class_lineage_id,ultimate_tribute_rule
S1-ARC-011,S1-ARC-011,Back Step,Skill,DEF,Archer,Marksman Rank II,Archer;Marksman;Grand Ranger,2,100,FALSE,,,Dodge,,Incoming Attack,Battle Phase / DEF Response,Battle Phase / DEF Response,DEF;Dodge,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Dodge incoming Physical or Magical damage.,Dodge incoming Physical or Magical damage.,Dodge incoming Physical or Magical damage.,,runtime_thumbnail_assets/cards/S1-ARC-011.jpg,runtime_thumbnail_assets/cards/S1-ARC-011.jpg,runtime_thumbnail_assets/cards/S1-ARC-011.webp,runtime_thumbnail_assets/cards/S1-ARC-011.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-011,Archer,S1B2,,,,,S1-ARC-011,,
S1-ARC-012,S1-ARC-012,Deflect Arrow,Skill,DEF,Archer,Archer Rank I; Marksman Rank II,Archer;Marksman;Grand Ranger,3,100,FALSE,,,Block,Archer 30; Marksman 40,Incoming Attack,Battle Phase / DEF Response,Battle Phase / DEF Response,DEF;Block,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Block incoming Physical or Magical damage. Archer: Block 30. Marksman: Block 40.,Block incoming Physical or Magical damage. Archer: Block 30. Marksman: Block 40.,Block incoming Physical or Magical damage. Archer: Block 30. Marksman: Block 40.,,runtime_thumbnail_assets/cards/S1-ARC-012.jpg,runtime_thumbnail_assets/cards/S1-ARC-012.jpg,runtime_thumbnail_assets/cards/S1-ARC-012.webp,runtime_thumbnail_assets/cards/S1-ARC-012.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-012,Archer,S1B2,,,,,S1-ARC-012,,
S1-ARC-013,S1-ARC-013,Triple Shot,Skill,TACTICAL,Archer,Marksman Rank II,Archer;Marksman;Grand Ranger,2,100,FALSE,,,,,Self,Deploy Phase,Deploy Phase,Tactical;Area Conversion,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,"Choose Poison Arrow, Frost Arrow, or Burning Arrow. This turn, it becomes an Area Attack card.","Choose Poison Arrow, Frost Arrow, or Burning Arrow. This turn, it becomes an Area Attack card.","Choose Poison Arrow, Frost Arrow, or Burning Arrow. This turn, it becomes an Area Attack card.",,runtime_thumbnail_assets/cards/S1-ARC-013.jpg,runtime_thumbnail_assets/cards/S1-ARC-013.jpg,runtime_thumbnail_assets/cards/S1-ARC-013.webp,runtime_thumbnail_assets/cards/S1-ARC-013.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-013,Archer,S1B2,,,,,S1-ARC-013,,
S1-ARC-014,S1-ARC-014,Replenish,Skill,TACTICAL,Archer,Marksman Rank II,Archer;Marksman;Grand Ranger,4,100,FALSE,,,,,Discard Pile,Deploy Phase,Deploy Phase,Tactical;Discard Recovery,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Return 2 Archer Skill Cards from your discard pile to your hand. You cannot take an Ultimate Skill Card from the discard pile.,Return 2 Archer Skill Cards from your discard pile to your hand. You cannot take an Ultimate Skill Card from the discard pile.,Return 2 Archer Skill Cards from your discard pile to your hand. You cannot take an Ultimate Skill Card from the discard pile.,,runtime_thumbnail_assets/cards/S1-ARC-014.jpg,runtime_thumbnail_assets/cards/S1-ARC-014.jpg,runtime_thumbnail_assets/cards/S1-ARC-014.webp,runtime_thumbnail_assets/cards/S1-ARC-014.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-014,Archer,S1B2,,,,,S1-ARC-014,,
S1-ARC-015,S1-ARC-015,Power Shot,Skill,ATK,Archer,Archer Rank I; Marksman Rank II; Grand Ranger Rank III,Archer;Marksman;Grand Ranger,5,100,FALSE,Physical Attack,Archer 40; Marksman 50; Grand Ranger 70,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack,,,TRUE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Archer: Deal 40 Physical Attack damage. Marksman: Deal 50. Grand Ranger: Deal 70.,Archer: Deal 40 Physical Attack damage. Marksman: Deal 50. Grand Ranger: Deal 70.,Archer: Deal 40 Physical Attack damage. Marksman: Deal 50. Grand Ranger: Deal 70.,,runtime_thumbnail_assets/cards/S1-ARC-015.jpg,runtime_thumbnail_assets/cards/S1-ARC-015.jpg,runtime_thumbnail_assets/cards/S1-ARC-015.webp,runtime_thumbnail_assets/cards/S1-ARC-015.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-015,Archer,S1B2,,,,,S1-ARC-015,,
S1-ARC-016,S1-ARC-016,Soul Shot,Skill,ATK,Archer,Marksman Rank II; Grand Ranger Rank III,Archer;Marksman;Grand Ranger,7,100,FALSE,Physical Attack,Marksman 80; Grand Ranger 100,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack;Self Damage,,,TRUE,True,,,,,,,,,,,,,,,,,,,,Self Damage,20,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Inflict 20 damage to yourself. You cannot use this skill if you do not have enough HP. Marksman: Deal 80 Physical Attack damage. Grand Ranger: Deal 100.,Inflict 20 damage to yourself. You cannot use this skill if you do not have enough HP. Marksman: Deal 80 Physical Attack damage. Grand Ranger: Deal 100.,Inflict 20 damage to yourself. You cannot use this skill if you do not have enough HP. Marksman: Deal 80 Physical Attack damage. Grand Ranger: Deal 100.,,runtime_thumbnail_assets/cards/S1-ARC-016.jpg,runtime_thumbnail_assets/cards/S1-ARC-016.jpg,runtime_thumbnail_assets/cards/S1-ARC-016.webp,runtime_thumbnail_assets/cards/S1-ARC-016.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-016,Archer,S1B2,,,,,S1-ARC-016,,
S1-ARC-017,S1-ARC-017,Dual Arrow,Skill,ATK,Archer,Marksman Rank II; Grand Ranger Rank III,Archer;Marksman;Grand Ranger,7,100,FALSE,Physical Attack,Marksman 30; Grand Ranger 50,,,Two Opponent Heroes,Battle Phase,Battle Phase,ATK;Physical Attack;Multi Target,,,TRUE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Deal Physical Damage to 2 target opponent heroes. Marksman: 30 damage. Grand Ranger: 50 damage.,Deal Physical Damage to 2 target opponent heroes. Marksman: 30 damage. Grand Ranger: 50 damage.,Deal Physical Damage to 2 target opponent heroes. Marksman: 30 damage. Grand Ranger: 50 damage.,,runtime_thumbnail_assets/cards/S1-ARC-017.jpg,runtime_thumbnail_assets/cards/S1-ARC-017.jpg,runtime_thumbnail_assets/cards/S1-ARC-017.webp,runtime_thumbnail_assets/cards/S1-ARC-017.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-017,Archer,S1B2,,,,,S1-ARC-017,,
S1-ARC-018,S1-ARC-018,Charged Shot,Skill,ATK,Archer,Marksman Rank II; Grand Ranger Rank III,Archer;Marksman;Grand Ranger,5,200,TRUE,Physical Attack,Marksman 60; Grand Ranger 100,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack;Cannot Be Dodged;Ultimate,,,TRUE,True,,,,,,,,,,,,,,,,,,,,Discard Hand,1,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Discard 1 card in your hand. This attack cannot be dodged. Marksman: Deal 60 Physical Attack damage. Grand Ranger: Deal 100.,Discard 1 card in your hand. This attack cannot be dodged. Marksman: Deal 60 Physical Attack damage. Grand Ranger: Deal 100.,Discard 1 card in your hand. This attack cannot be dodged. Marksman: Deal 60 Physical Attack damage. Grand Ranger: Deal 100.,,runtime_thumbnail_assets/cards/S1-ARC-018.jpg,runtime_thumbnail_assets/cards/S1-ARC-018.jpg,runtime_thumbnail_assets/cards/S1-ARC-018.webp,runtime_thumbnail_assets/cards/S1-ARC-018.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-018,Archer,S1B2,,,,,S1-ARC-018,ARC-GRAND-RANGER,Can only be tributed to a Hero in this Skill Card class lineage.
S1-THF-001,S1-THF-001,Dash Stab,Skill,ATK,Thief,Thief Rank I,Thief;Rogue;Renegade,2,100,FALSE,Physical Attack,20,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack,,,TRUE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thief;Rogue;Renegade,Lineage-derived,,Deal 20 Physical Attack damage.,Deal 20 Physical Attack damage.,Deal 20 Physical Attack damage.,,runtime_thumbnail_assets/cards/S1-THF-001.jpg,runtime_thumbnail_assets/cards/S1-THF-001.jpg,runtime_thumbnail_assets/cards/S1-THF-001.webp,runtime_thumbnail_assets/cards/S1-THF-001.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Thief,Thief,Thief;Rogue;Renegade,Fixed class lineage match.,,2,,,,,,,,S1-THF-001,Thief,S1B2,,,,,S1-THF-001,,
S1-THF-002,S1-THF-002,Jump Slash,Skill,ATK,Thief,Thief Rank I,Thief;Rogue;Renegade,3,100,FALSE,Physical Attack,30,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack,,,TRUE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thief;Rogue;Renegade,Lineage-derived,,Deal 30 Physical Attack damage.,Deal 30 Physical Attack damage.,Deal 30 Physical Attack damage.,,runtime_thumbnail_assets/cards/S1-THF-002.jpg,runtime_thumbnail_assets/cards/S1-THF-002.jpg,runtime_thumbnail_assets/cards/S1-THF-002.webp,runtime_thumbnail_assets/cards/S1-THF-002.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Thief,Thief,Thief;Rogue;Renegade,Fixed class lineage match.,,2,,,,,,,,S1-THF-002,Thief,S1B2,,,,,S1-THF-002,,
S1-THF-003,S1-THF-003,Evasion,Skill,DEF,Thief,Thief Rank I,Thief;Rogue;Renegade,3,100,FALSE,,,Dodge,,Incoming Attack,Battle Phase / DEF Response,Battle Phase / DEF Response,DEF;Dodge,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thief;Rogue;Renegade,Lineage-derived,,Dodge incoming Physical or Magical damage.,Dodge incoming Physical or Magical damage.,Dodge incoming Physical or Magical damage.,,runtime_thumbnail_assets/cards/S1-THF-003.jpg,runtime_thumbnail_assets/cards/S1-THF-003.jpg,runtime_thumbnail_assets/cards/S1-THF-003.webp,runtime_thumbnail_assets/cards/S1-THF-003.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Thief,Thief,Thief;Rogue;Renegade,Fixed class lineage match.,,2,,,,,,,,S1-THF-003,Thief,S1B2,,,,,S1-THF-003,,
S1-THF-004,S1-THF-004,Steal,Skill,TACTICAL,Thief,Thief Rank I,Thief;Rogue;Renegade,0,100,FALSE,,,,,Opponent Mana,Deploy Phase,Deploy Phase,Tactical;Mana Steal,,,FALSE,False,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Thief;Rogue;Renegade,Lineage-derived,,Take 1 Mana Shard from your opponent's Mana Pool to your own Mana Pool.,Take 1 Mana Shard from your opponent's Mana Pool to your own Mana Pool.,Take 1 Mana Shard from your opponent's Mana Pool to your own Mana Pool.,,runtime_thumbnail_assets/cards/S1-THF-004.jpg,runtime_thumbnail_assets/cards/S1-THF-004.jpg,runtime_thumbnail_assets/cards/S1-THF-004.webp,runtime_thumbnail_assets/cards/S1-THF-004.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Thief,Thief,Thief;Rogue;Renegade,Fixed class lineage match.,,2,,,,,,,,S1-THF-004,Thief,S1B2,,,,,S1-THF-004,,
S1-THF-005,S1-THF-005,Sixth Sense,Skill,TACTICAL,Thief,Thief Rank I,Thief;Rogue;Renegade,1,100,FALSE,,,,,Deck,Deploy Phase,Deploy Phase,Tactical;Search DEF,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thief;Rogue;Renegade,Lineage-derived,,Take 1 Defend Skill card from your deck to your hand.,Take 1 Defend Skill card from your deck to your hand.,Take 1 Defend Skill card from your deck to your hand.,,runtime_thumbnail_assets/cards/S1-THF-005.jpg,runtime_thumbnail_assets/cards/S1-THF-005.jpg,runtime_thumbnail_assets/cards/S1-THF-005.webp,runtime_thumbnail_assets/cards/S1-THF-005.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Thief,Thief,Thief;Rogue;Renegade,Fixed class lineage match.,,2,,,,,,,,S1-THF-005,Thief,S1B2,,,,,S1-THF-005,,
S1-THF-006,S1-THF-006,Smoke Screen,Skill,TACTICAL,Thief,Thief Rank I,Thief;Rogue;Renegade,1,100,FALSE,,,,,This Hero,Deploy Phase,Deploy Phase,Tactical;Untargetable,,,TRUE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thief;Rogue;Renegade,Lineage-derived,,Your opponent cannot target this Hero for their attacks next turn.,Your opponent cannot target this Hero for their attacks next turn.,Your opponent cannot target this Hero for their attacks next turn.,,runtime_thumbnail_assets/cards/S1-THF-006.jpg,runtime_thumbnail_assets/cards/S1-THF-006.jpg,runtime_thumbnail_assets/cards/S1-THF-006.webp,runtime_thumbnail_assets/cards/S1-THF-006.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Thief,Thief,Thief;Rogue;Renegade,Fixed class lineage match.,,2,,,,,,,,S1-THF-006,Thief,S1B2,,,,,S1-THF-006,,
S1-THF-007,S1-THF-007,Horizontal Slash,Skill,ATK,Thief,Thief Rank I; Rogue Rank II,Thief;Rogue;Renegade,1,100,FALSE,Physical Attack,Thief 10; Rogue 20,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack,,,TRUE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thief;Rogue;Renegade,Lineage-derived,,Thief: Deal 10 Physical Attack damage. Rogue: Deal 20 Physical Attack damage.,Thief: Deal 10 Physical Attack damage. Rogue: Deal 20 Physical Attack damage.,Thief: Deal 10 Physical Attack damage. Rogue: Deal 20 Physical Attack damage.,,runtime_thumbnail_assets/cards/S1-THF-007.jpg,runtime_thumbnail_assets/cards/S1-THF-007.jpg,runtime_thumbnail_assets/cards/S1-THF-007.webp,runtime_thumbnail_assets/cards/S1-THF-007.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Thief,Thief,Thief;Rogue;Renegade,Fixed class lineage match.,,2,,,,,,,,S1-THF-007,Thief,S1B2,,,,,S1-THF-007,,
S1-THF-008,S1-THF-008,Vertical Slash,Skill,ATK,Thief,Thief Rank I; Rogue Rank II,Thief;Rogue;Renegade,1,100,FALSE,Physical Attack,Thief 10; Rogue 20,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack,,,TRUE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thief;Rogue;Renegade,Lineage-derived,,Thief: Deal 10 Physical Attack damage. Rogue: Deal 20 Physical Attack damage.,Thief: Deal 10 Physical Attack damage. Rogue: Deal 20 Physical Attack damage.,Thief: Deal 10 Physical Attack damage. Rogue: Deal 20 Physical Attack damage.,,runtime_thumbnail_assets/cards/S1-THF-008.jpg,runtime_thumbnail_assets/cards/S1-THF-008.jpg,runtime_thumbnail_assets/cards/S1-THF-008.webp,runtime_thumbnail_assets/cards/S1-THF-008.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Thief,Thief,Thief;Rogue;Renegade,Fixed class lineage match.,,2,,,,,,,,S1-THF-008,Thief,S1B2,,,,,S1-THF-008,,
S1-THF-009,S1-THF-009,X Cross Slash,Skill,ATK,Thief,Rogue Rank II,Thief;Rogue;Renegade,3,100,FALSE,Physical Attack,80,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack;Combo;Cannot Be Dodged,,,TRUE,True,,,,,,,,,,,,,,,,,,,,Discard Specific Cards,2,,,,,,,,,,,,Thief;Rogue;Renegade,Lineage-derived,,Only use if you have both Vertical Slash and Horizontal Slash in hand. Discard both cards. Opponent cannot dodge. Deal 80 Physical Attack damage.,Only use if you have both Vertical Slash and Horizontal Slash in hand. Discard both cards. Opponent cannot dodge. Deal 80 Physical Attack damage.,Only use if you have both Vertical Slash and Horizontal Slash in hand. Discard both cards. Opponent cannot dodge. Deal 80 Physical Attack damage.,,runtime_thumbnail_assets/cards/S1-THF-009.jpg,runtime_thumbnail_assets/cards/S1-THF-009.jpg,runtime_thumbnail_assets/cards/S1-THF-009.webp,runtime_thumbnail_assets/cards/S1-THF-009.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Thief,Thief,Thief;Rogue;Renegade,Fixed class lineage match.,,2,,,,,,,,S1-THF-009,Thief,S1B2,,,,,S1-THF-009,,
S1-THF-010,S1-THF-010,Backslash,Skill,ATK,Thief,Thief Rank I; Rogue Rank II,Thief;Rogue;Renegade,5,100,FALSE,Physical Attack,Thief 30; Rogue 50,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack;Cannot Be Dodged,,,TRUE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thief;Rogue;Renegade,Lineage-derived,,Thief: Deal 30 Physical Attack damage. Rogue: Deal 50. This attack cannot be dodged.,Thief: Deal 30 Physical Attack damage. Rogue: Deal 50. This attack cannot be dodged.,Thief: Deal 30 Physical Attack damage. Rogue: Deal 50. This attack cannot be dodged.,,runtime_thumbnail_assets/cards/S1-THF-010.jpg,runtime_thumbnail_assets/cards/S1-THF-010.jpg,runtime_thumbnail_assets/cards/S1-THF-010.webp,runtime_thumbnail_assets/cards/S1-THF-010.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Thief,Thief,Thief;Rogue;Renegade,Fixed class lineage match.,,2,,,,,,,,S1-THF-010,Thief,S1B2,,,,,S1-THF-010,,
S1-THF-011,S1-THF-011,Elusive Escape,Skill,DEF,Thief,Rogue Rank II,Thief;Rogue;Renegade,1,100,FALSE,,,Dodge,,Incoming Attack,Battle Phase / DEF Response,Battle Phase / DEF Response,DEF;Dodge,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thief;Rogue;Renegade,Lineage-derived,,Dodge incoming Physical or Magical damage.,Dodge incoming Physical or Magical damage.,Dodge incoming Physical or Magical damage.,,runtime_thumbnail_assets/cards/S1-THF-011.jpg,runtime_thumbnail_assets/cards/S1-THF-011.jpg,runtime_thumbnail_assets/cards/S1-THF-011.webp,runtime_thumbnail_assets/cards/S1-THF-011.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Thief,Thief,Thief;Rogue;Renegade,Fixed class lineage match.,,2,,,,,,,,S1-THF-011,Thief,S1B2,,,,,S1-THF-011,,
S1-THF-012,S1-THF-012,Poison Mist,Skill,TACTICAL,Thief,Rogue Rank II,Thief;Rogue;Renegade,6,100,FALSE,,,,,All Opponent Heroes,Deploy Phase,Deploy Phase,Tactical;Poison;Area,,,FALSE,False,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Thief;Rogue;Renegade,Lineage-derived,,Inflict Poison for 2 turns to all opponent Heroes.,Inflict Poison for 2 turns to all opponent Heroes.,Inflict Poison for 2 turns to all opponent Heroes.,,runtime_thumbnail_assets/cards/S1-THF-012.jpg,runtime_thumbnail_assets/cards/S1-THF-012.jpg,runtime_thumbnail_assets/cards/S1-THF-012.webp,runtime_thumbnail_assets/cards/S1-THF-012.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK. Poison Mist mana manually held at 6 by user.,TRUE,Thief,Thief,Thief;Rogue;Renegade,Fixed class lineage match.,,2,,,,,,,,S1-THF-012,Thief,S1B2,,,,,S1-THF-012,,
S1-THF-013,S1-THF-013,Venom Strike,Skill,ATK,Thief,Rogue Rank II; Renegade Rank III,Thief;Rogue;Renegade,3,100,FALSE,Physical Attack,20,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack;Poison,,,TRUE,True,,,,,,,Rogue 1; Renegade 2,,,,,,,,,,,,,,,,,,,,,,,,,,Thief;Rogue;Renegade,Lineage-derived,,Rogue: Deal 20 Physical Attack damage and inflict Poison for 1 turn. Renegade: Deal 20 and inflict Poison for 2 turns.,Rogue: Deal 20 Physical Attack damage and inflict Poison for 1 turn. Renegade: Deal 20 and inflict Poison for 2 turns.,Rogue: Deal 20 Physical Attack damage and inflict Poison for 1 turn. Renegade: Deal 20 and inflict Poison for 2 turns.,,runtime_thumbnail_assets/cards/S1-THF-013.jpg,runtime_thumbnail_assets/cards/S1-THF-013.jpg,runtime_thumbnail_assets/cards/S1-THF-013.webp,runtime_thumbnail_assets/cards/S1-THF-013.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Thief,Thief,Thief;Rogue;Renegade,Fixed class lineage match.,,2,,,,,,,,S1-THF-013,Thief,S1B2,,,,,S1-THF-013,,
